ReadName	Type	RefName	DelLength	DelLeft	DelRight	ReadLength	LeftLen	RightLen	Overlap	Orientation	Strand	1stOccurrence?
M01715:133:000000000-AF5JT:1:1116:27698:10817	Deletion	68S	173	1450	1622	151	89	67	5	correct	forward	1
M01715:133:000000000-AF5JT:1:1116:11175:14207	Deletion	68S	312	2723	3034	151	82	75	6	correct	forward	1
M01715:133:000000000-AF5JT:1:2110:2869:9439	Deletion	68S	270	2799	3068	151	96	59	4	correct	reverse	0
M01715:133:000000000-AF5JT:1:1105:27125:18077	Deletion	68S	271	2799	3069	151	117	33	0	correct	forward	1
M01715:133:000000000-AF5JT:1:2107:15790:12064	Deletion	68S	340	277	616	151	92	67	8	correct	reverse	1
M01715:133:000000000-AF5JT:1:1104:17048:10796	Deletion	68S	2653	443	3095	151	86	67	2	correct	forward	1
M01715:133:000000000-AF5JT:1:1116:22836:6653	Deletion	68L	35	418	452	109	78	40	9	correct	forward	0
M01715:133:000000000-AF5JT:1:2107:14405:17125	Deletion	68S	413	2655	3107	151	87	66	3	correct	forward	1
M01715:133:000000000-AF5JT:1:1110:10943:5044	Deletion	68S	258	2021	2278	151	118	40	7	correct	reverse	1
M01715:133:000000000-AF5JT:1:1108:6381:11088	Deletion	68S	270	2799	3068	151	120	35	4	correct	forward	0
M01715:133:000000000-AF5JT:1:2107:13545:8346	Deletion	68S	1327	958	2284	109	74	35	1	correct	forward	1
M01715:133:000000000-AF5JT:1:1103:21261:22796	Deletion	68S	270	2799	3068	151	81	74	4	correct	reverse	0
M01715:133:000000000-AF5JT:1:1103:23595:14582	Deletion	68S	270	2799	3068	151	123	32	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2101:9719:9030	Deletion	68L	35	418	452	109	83	35	9	correct	forward	1
M01715:133:000000000-AF5JT:1:1117:18149:18447	Deletion	68L	120	349	468	151	91	64	4	correct	forward	0
M01715:133:000000000-AF5JT:1:2118:2955:9055	Deletion	68S	487	737	1223	151	120	33	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:2115:10931:7130	Deletion	68S	1014	748	1761	109	78	44	13	correct	forward	1
M01715:133:000000000-AF5JT:1:2110:26643:11023	Deletion	68S	270	2799	3068	151	103	52	4	correct	forward	1
M01715:133:000000000-AF5JT:1:1112:6873:19291	Deletion	68S	1477	757	2269	151	97	56	2	correct	forward	1
M01715:133:000000000-AF5JT:1:1118:5534:10005	Deletion	68L	5804	272	6075	151	101	51	1	correct	reverse	1
M01715:133:000000000-AF5JT:1:1102:6667:19791	Deletion	68L	35	418	452	151	123	37	9	correct	reverse	0
M01715:133:000000000-AF5JT:1:1109:21794:9017	Deletion	68L	35	418	452	109	83	35	9	correct	forward	0
M01715:133:000000000-AF5JT:1:1113:27821:9414	Deletion	68S	81	1575	1655	151	91	63	3	correct	forward	1
M01715:133:000000000-AF5JT:1:1112:22076:11438	Deletion	68S	81	1575	1655	151	108	46	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:1113:6597:3761	Deletion	68L	5010	1001	6010	151	80	72	1	correct	forward	1
M01715:133:000000000-AF5JT:1:1110:18523:3952	Deletion	68L	35	418	452	109	81	37	9	correct	forward	0
M01715:133:000000000-AF5JT:1:1111:10704:11212	Deletion	68L	35	418	452	151	119	41	9	correct	reverse	0
M01715:133:000000000-AF5JT:1:2103:24868:21841	Deletion	68S	487	737	1223	151	78	75	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:2113:19639:18759	Deletion	68S	124	2769	2892	151	103	54	6	correct	forward	1
M01715:133:000000000-AF5JT:1:1101:7816:15099	Deletion	68L	4246	93	4338	151	97	56	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:1113:10278:18407	Deletion	68S	278	2799	3076	148	105	50	7	correct	forward	1
M01715:133:000000000-AF5JT:1:1107:26006:15966	Deletion	68S	314	1367	1680	109	58	55	4	correct	forward	1
M01715:133:000000000-AF5JT:1:1111:23047:17871	Deletion	68S	460	202	661	151	104	47	0	correct	reverse	1
M01715:133:000000000-AF5JT:1:2107:15821:22638	Deletion	68S	487	737	1223	151	100	53	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:2111:6960:19450	Deletion	68S	270	2799	3068	151	87	68	4	correct	reverse	0
M01715:133:000000000-AF5JT:1:2107:19780:3624	Deletion	68S	2860	153	3012	151	122	30	1	correct	forward	1
M01715:133:000000000-AF5JT:1:1103:8865:3125	Deletion	68S	39	1911	1949	148	104	44	0	correct	reverse	1
M01715:133:000000000-AF5JT:1:2112:8855:6791	Deletion	68S	577	2320	2896	151	93	65	7	correct	reverse	1
M01715:133:000000000-AF5JT:1:2115:13525:23424	Deletion	68S	116	790	905	151	86	67	2	correct	forward	1
M01715:133:000000000-AF5JT:1:2102:25066:7405	Deletion	68S	2372	51	2422	109	71	45	7	correct	forward	1
M01715:133:000000000-AF5JT:1:2111:5265:12021	Deletion	68L	35	418	452	109	81	37	9	correct	forward	0
M01715:133:000000000-AF5JT:1:1104:21688:4593	Deletion	68S	270	2799	3068	151	111	44	4	correct	forward	0
M01715:133:000000000-AF5JT:1:1107:14711:5984	Deletion	68S	259	2808	3066	151	122	34	5	correct	forward	1
M01715:133:000000000-AF5JT:1:1112:8333:19443	Deletion	68S	270	2799	3068	151	87	68	4	correct	reverse	0
M01715:133:000000000-AF5JT:1:2106:25489:8579	Deletion	68S	167	2462	2628	151	104	51	4	correct	forward	1
M01715:133:000000000-AF5JT:1:1110:19566:13221	Deletion	68L	6348	490	6837	142	111	32	1	correct	forward	1
M01715:133:000000000-AF5JT:1:1101:28130:11927	Deletion	68S	634	1962	2595	151	85	69	3	correct	forward	1
M01715:133:000000000-AF5JT:1:1111:18161:3718	Deletion	68L	5556	1035	6590	151	96	56	1	correct	forward	1
M01715:133:000000000-AF5JT:1:2114:17882:22298	Deletion	68S	226	2613	2868	148	113	39	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2111:16011:13123	Deletion	68S	587	2479	3065	151	104	47	0	correct	forward	1
M01715:133:000000000-AF5JT:1:1117:27155:19572	Deletion	68S	376	2228	2603	151	77	73	0	correct	reverse	1
M01715:133:000000000-AF5JT:1:1103:27665:9989	Deletion	68S	103	790	892	151	101	52	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:1119:22315:19275	Deletion	68S	577	2490	3066	148	111	40	3	correct	forward	1
M01715:133:000000000-AF5JT:1:1118:12316:11993	Deletion	68S	270	2794	3063	151	111	41	1	correct	reverse	1
M01715:133:000000000-AF5JT:1:1103:24115:10375	Deletion	68S	270	2799	3068	151	110	45	4	correct	reverse	0
M01715:133:000000000-AF5JT:1:1109:18839:21530	Deletion	68S	278	2799	3076	151	113	45	7	correct	forward	1
M01715:133:000000000-AF5JT:1:1119:9821:22575	Deletion	68S	314	2744	3057	151	81	70	0	correct	reverse	1
M01715:133:000000000-AF5JT:1:1112:16404:15337	Deletion	68S	375	2231	2605	151	108	49	6	correct	reverse	1
M01715:133:000000000-AF5JT:1:2114:17097:7452	Deletion	68S	107	2742	2848	151	95	59	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:2108:6558:17431	Deletion	68S	340	2669	3008	151	120	34	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:2111:10411:5787	Deletion	68S	270	2799	3068	151	90	65	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:2106:17879:3325	Deletion	68S	270	2799	3068	151	117	38	4	correct	forward	0
M01715:133:000000000-AF5JT:1:1112:7714:22510	Deletion	68S	271	2794	3064	151	71	79	0	correct	forward	1
M01715:133:000000000-AF5JT:1:2101:18940:3475	Deletion	68S	270	2799	3068	151	104	51	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2115:15904:13374	Deletion	68S	756	941	1696	151	90	63	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:1104:10484:14209	Deletion	68S	375	2231	2605	151	97	60	6	correct	reverse	1
M01715:133:000000000-AF5JT:1:1104:9580:3508	Deletion	68L	35	418	452	151	110	50	9	correct	reverse	1
M01715:133:000000000-AF5JT:1:1106:23816:5963	Deletion	68L	35	418	452	151	126	34	9	correct	reverse	1
M01715:133:000000000-AF5JT:1:2105:16395:21821	Deletion	68S	289	2753	3041	151	107	48	4	correct	forward	1
M01715:133:000000000-AF5JT:1:1117:13028:7962	Deletion	68S	270	2799	3068	151	106	49	4	correct	forward	0
M01715:133:000000000-AF5JT:1:1114:13384:21062	Deletion	68L	5460	1147	6606	151	114	38	1	correct	reverse	1
M01715:133:000000000-AF5JT:1:2104:22372:6950	Deletion	68S	270	2799	3068	151	83	72	4	correct	forward	0
M01715:133:000000000-AF5JT:1:1105:26463:7593	Deletion	68S	270	2799	3068	151	88	67	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2115:8268:7368	Deletion	68S	81	1575	1655	151	119	34	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:2111:7701:5124	Deletion	68L	597	1403	1999	151	93	58	0	correct	reverse	1
M01715:133:000000000-AF5JT:1:2116:6648:16503	Deletion	68S	263	2806	3068	151	84	69	2	correct	forward	1
M01715:133:000000000-AF5JT:1:1103:13770:2151	Deletion	68L	5640	92	5731	116	85	33	2	correct	forward	1
M01715:133:000000000-AF5JT:1:2108:2872:13300	Deletion	68L	120	349	468	151	77	78	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:2108:21096:10654	Deletion	68L	3965	119	4083	134	96	38	0	correct	reverse	1
M01715:133:000000000-AF5JT:1:1101:23554:2994	Deletion	68S	270	2799	3068	151	105	50	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1118:27326:13807	Deletion	68S	596	1990	2585	151	112	45	6	correct	reverse	1
M01715:133:000000000-AF5JT:1:1109:6538:9662	Deletion	68L	6253	522	6774	151	80	73	2	correct	forward	1
M01715:133:000000000-AF5JT:1:1114:18016:17216	Deletion	68S	408	2660	3067	151	108	44	2	correct	forward	1
M01715:133:000000000-AF5JT:1:2107:22228:21539	Deletion	68S	627	612	1238	151	92	62	3	correct	forward	1
M01715:133:000000000-AF5JT:1:2116:9006:11683	Deletion	68S	412	2655	3066	151	119	35	3	correct	forward	1
M01715:133:000000000-AF5JT:1:2110:2789:13046	Deletion	68S	173	1450	1622	151	122	34	5	correct	forward	1
M01715:133:000000000-AF5JT:1:1107:17953:21807	Deletion	68L	6372	299	6670	151	88	63	0	correct	reverse	1
M01715:133:000000000-AF5JT:1:2111:13972:22589	Deletion	68L	4055	1219	5273	151	98	55	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:2112:24919:7100	Deletion	68L	5162	183	5344	151	80	74	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:1105:9727:13112	Deletion	68L	5175	880	6054	151	120	35	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2116:14160:17509	Deletion	68L	6296	607	6902	151	114	41	4	correct	forward	1
M01715:133:000000000-AF5JT:1:1117:25705:7233	Deletion	68S	132	2732	2863	148	110	41	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:2119:14293:14817	Deletion	68S	270	2799	3068	151	79	76	4	correct	forward	0
M01715:133:000000000-AF5JT:1:2107:13161:22044	Deletion	68S	74	1582	1655	151	95	58	2	correct	forward	1
M01715:133:000000000-AF5JT:1:2113:13290:21591	Deletion	68S	166	1922	2087	151	100	58	7	correct	forward	1
M01715:133:000000000-AF5JT:1:2112:5755:13339	Deletion	68S	278	2799	3076	151	95	63	7	correct	forward	1
M01715:133:000000000-AF5JT:1:1114:6902:13438	Deletion	68L	5556	1035	6590	151	111	41	1	correct	forward	1
M01715:133:000000000-AF5JT:1:2106:8137:7455	Deletion	68S	313	2723	3035	151	117	33	0	correct	forward	1
M01715:133:000000000-AF5JT:1:1118:6082:21540	Deletion	68S	298	2429	2726	151	98	57	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1116:26101:14581	Deletion	68L	5298	354	5651	151	82	71	2	correct	forward	1
M01715:133:000000000-AF5JT:1:2104:26648:12078	Deletion	68S	258	2021	2278	151	112	45	7	correct	reverse	1
M01715:133:000000000-AF5JT:1:1112:28071:10272	Deletion	68S	81	1575	1655	151	89	65	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:1117:12696:2073	Deletion	68L	71	1574	1644	151	105	48	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:1101:19374:12765	Deletion	68S	314	2744	3057	151	74	77	0	correct	forward	1
M01715:133:000000000-AF5JT:1:2101:17277:6123	Deletion	68L	33	404	436	109	74	40	5	correct	forward	1
M01715:133:000000000-AF5JT:1:2102:15934:20649	Deletion	68S	81	1575	1655	151	77	77	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:2111:21333:20303	Deletion	68L	6279	625	6903	151	117	37	3	correct	forward	1
M01715:133:000000000-AF5JT:1:2102:25301:16195	Deletion	68L	6	1235	1240	151	78	79	6	correct	reverse	1
M01715:133:000000000-AF5JT:1:1109:3900:18208	Deletion	68S	270	2799	3068	151	78	77	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1101:11085:6571	Deletion	68S	2541	533	3073	151	99	55	3	correct	forward	1
M01715:133:000000000-AF5JT:1:2104:13132:8160	Deletion	68S	142	526	667	151	121	31	1	correct	forward	1
M01715:133:000000000-AF5JT:1:2110:8997:22138	Deletion	68S	412	2655	3066	151	112	42	3	correct	forward	1
M01715:133:000000000-AF5JT:1:2101:19792:17935	Deletion	68S	88	2922	3009	151	79	73	1	correct	reverse	1
M01715:133:000000000-AF5JT:1:2105:17014:6092	Deletion	68L	756	524	1279	106	66	46	6	correct	forward	1
M01715:133:000000000-AF5JT:1:2102:15309:10200	Deletion	68S	270	2799	3068	151	117	38	4	correct	reverse	0
M01715:133:000000000-AF5JT:1:1111:17993:16754	Deletion	68S	259	2808	3066	151	86	70	5	correct	forward	1
M01715:133:000000000-AF5JT:1:1114:8026:10455	Deletion	68S	412	2655	3066	151	87	67	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:2101:13803:7926	Deletion	68S	92	2800	2891	151	115	37	1	correct	forward	1
M01715:133:000000000-AF5JT:1:1110:9999:4400	Deletion	68S	270	2799	3068	151	116	39	4	correct	forward	0
M01715:133:000000000-AF5JT:1:1113:22062:11886	Deletion	68S	361	2708	3068	151	114	36	0	correct	reverse	1
M01715:133:000000000-AF5JT:1:2106:16357:16154	Deletion	68S	375	2231	2605	151	126	31	6	correct	reverse	1
M01715:133:000000000-AF5JT:1:1103:24188:10212	Deletion	68L	6540	168	6707	151	85	70	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1102:20172:7365	Deletion	68L	6253	522	6774	151	103	50	2	correct	forward	1
M01715:133:000000000-AF5JT:1:2114:20011:3106	Deletion	68S	81	1575	1655	151	98	56	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:2113:6441:3560	Deletion	68L	6254	444	6697	151	111	40	0	correct	forward	1
M01715:133:000000000-AF5JT:1:1106:14857:23154	Deletion	68S	412	2655	3066	151	82	72	3	correct	forward	0
M01715:133:000000000-AF5JT:1:1101:28124:15546	Deletion	68S	270	2799	3068	151	106	48	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1104:19013:3841	Deletion	68L	5992	818	6809	151	111	40	0	correct	forward	1
M01715:133:000000000-AF5JT:1:1112:21525:19259	Deletion	68L	368	4163	4530	151	85	69	3	correct	forward	1
M01715:133:000000000-AF5JT:1:1119:15070:14965	Deletion	68S	577	2490	3066	151	85	69	3	correct	forward	1
M01715:133:000000000-AF5JT:1:1102:16685:17646	Deletion	68S	1569	589	2169	151	105	52	6	correct	reverse	1
M01715:133:000000000-AF5JT:1:1116:9690:16731	Deletion	68L	71	1574	1644	151	100	53	2	correct	forward	1
M01715:133:000000000-AF5JT:1:1104:18602:11117	Deletion	68S	111	1571	1681	151	80	75	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2104:24834:17746	Deletion	68S	412	2655	3066	151	94	60	3	correct	forward	0
M01715:133:000000000-AF5JT:1:2107:10341:24124	Deletion	68S	30	2581	2610	113	85	32	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2119:15048:10050	Deletion	68S	375	2231	2605	151	99	58	6	correct	reverse	1
M01715:133:000000000-AF5JT:1:2116:10731:21465	Deletion	68S	173	626	798	151	97	54	0	correct	forward	1
M01715:133:000000000-AF5JT:1:2112:15112:6439	Deletion	68S	1061	746	1806	144	110	37	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:1111:12123:3734	Deletion	68S	412	2655	3066	151	83	71	3	correct	forward	1
M01715:133:000000000-AF5JT:1:2112:18167:7628	Deletion	68S	270	2799	3068	151	82	73	4	correct	forward	0
M01715:133:000000000-AF5JT:1:2102:18280:12504	Deletion	68S	81	1575	1655	151	97	57	3	correct	forward	1
M01715:133:000000000-AF5JT:1:2110:2333:11736	Deletion	68S	72	1584	1655	151	103	50	2	correct	forward	1
M01715:133:000000000-AF5JT:1:2106:19052:8213	Deletion	68L	5460	1147	6606	151	111	41	1	correct	reverse	1
M01715:133:000000000-AF5JT:1:1109:16746:16582	Deletion	68L	33	404	436	151	121	35	5	correct	reverse	1
M01715:133:000000000-AF5JT:1:1105:11917:5488	Deletion	68S	1528	706	2233	151	99	52	0	correct	forward	1
M01715:133:000000000-AF5JT:1:2107:7105:11469	Deletion	68S	133	2808	2940	151	116	34	0	correct	reverse	1
M01715:133:000000000-AF5JT:1:2105:11309:2443	Deletion	68S	270	2799	3068	151	102	53	4	correct	forward	0
M01715:133:000000000-AF5JT:1:2109:5398:8868	Deletion	68S	270	2799	3068	151	84	71	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2113:2923:8704	Deletion	68S	270	2799	3068	151	85	70	4	correct	reverse	0
M01715:133:000000000-AF5JT:1:1114:1871:11184	Deletion	68S	961	693	1653	151	75	78	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:2107:14123:4038	Deletion	68S	270	2799	3068	151	94	61	4	correct	forward	0
M01715:133:000000000-AF5JT:1:2101:16794:19425	Deletion	68S	412	2655	3066	151	116	38	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:2110:25617:9554	Deletion	68S	158	2911	3068	151	117	36	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:1111:17354:22245	Deletion	68L	6470	353	6822	151	114	37	0	correct	forward	1
M01715:133:000000000-AF5JT:1:1108:12941:1852	Deletion	68S	270	2799	3068	151	108	47	4	correct	forward	0
M01715:133:000000000-AF5JT:1:1116:4714:17575	Deletion	68S	412	2655	3066	148	108	43	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:2119:15244:17907	Deletion	68L	2250	1122	3371	109	64	50	5	correct	forward	1
M01715:133:000000000-AF5JT:1:2108:3240:12406	Deletion	68S	270	2799	3068	151	125	30	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1108:14594:12617	Deletion	68S	270	2799	3068	151	93	62	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1119:9870:12041	Deletion	68S	1014	1006	2019	151	121	38	8	correct	forward	1
M01715:133:000000000-AF5JT:1:2115:21333:9299	Deletion	68S	271	2775	3068	151	86	69	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1108:6049:6036	Deletion	68S	684	1944	2627	151	82	77	8	correct	forward	1
M01715:133:000000000-AF5JT:1:2105:16384:21421	Deletion	68S	270	2799	3068	151	102	53	4	correct	forward	0
M01715:133:000000000-AF5JT:1:1114:23869:19263	Deletion	68L	2820	77	2896	109	70	43	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2105:12213:23617	Deletion	68S	412	2655	3066	151	80	74	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:2115:7974:11598	Deletion	68L	6073	750	6822	151	85	66	0	correct	forward	1
M01715:133:000000000-AF5JT:1:1103:9872:11128	Deletion	68L	6363	343	6705	151	97	55	1	correct	reverse	1
M01715:133:000000000-AF5JT:1:2104:13819:17546	Deletion	68L	2422	3599	6020	151	84	74	7	correct	forward	1
M01715:133:000000000-AF5JT:1:1107:2630:15355	Deletion	68S	1331	1141	2503	151	87	66	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:2108:23886:16548	Deletion	68S	270	2799	3068	151	125	30	4	correct	reverse	0
M01715:133:000000000-AF5JT:1:2114:23554:21897	Deletion	68S	961	693	1653	151	106	47	2	correct	forward	1
M01715:133:000000000-AF5JT:1:2118:11961:21232	Deletion	68L	337	1571	1907	151	107	47	3	correct	forward	1
M01715:133:000000000-AF5JT:1:2107:2657:14494	Deletion	68L	35	418	452	151	114	46	9	correct	forward	0
M01715:133:000000000-AF5JT:1:2103:9008:24373	Deletion	68S	270	2799	3068	151	104	51	4	correct	reverse	0
M01715:133:000000000-AF5JT:1:2109:23143:12034	Deletion	68S	270	2799	3068	151	101	54	4	correct	forward	0
M01715:133:000000000-AF5JT:1:1109:10695:18462	Deletion	68S	280	1638	1917	151	98	57	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:2105:22744:2966	Deletion	68S	399	2668	3066	151	98	53	0	correct	forward	1
M01715:133:000000000-AF5JT:1:1103:14781:9036	Deletion	68L	58	2274	2331	151	80	71	0	correct	forward	1
M01715:133:000000000-AF5JT:1:1102:18413:18624	Deletion	68S	270	2799	3068	151	115	40	4	correct	reverse	0
M01715:133:000000000-AF5JT:1:1102:14290:1815	Deletion	68S	278	2799	3076	151	121	37	7	correct	forward	0
M01715:133:000000000-AF5JT:1:1115:14649:8716	Deletion	68S	58	316	373	151	121	32	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:1104:5369:3908	Deletion	68L	35	418	452	109	78	40	9	correct	forward	0
M01715:133:000000000-AF5JT:1:1111:4262:19630	Deletion	68L	83	2806	2888	151	107	44	0	correct	forward	1
M01715:133:000000000-AF5JT:1:1104:11796:11922	Deletion	68L	5309	869	6177	151	82	69	0	correct	forward	1
M01715:133:000000000-AF5JT:1:2112:20355:14560	Deletion	68S	270	2799	3068	151	97	58	4	correct	forward	0
M01715:133:000000000-AF5JT:1:2117:23791:3581	Deletion	68L	4652	1530	6181	151	88	63	0	correct	forward	1
M01715:133:000000000-AF5JT:1:1114:17382:16305	Deletion	68S	408	2660	3067	151	89	64	2	correct	forward	1
M01715:133:000000000-AF5JT:1:2103:21049:2970	Deletion	68L	312	1636	1947	151	121	35	5	correct	forward	1
M01715:133:000000000-AF5JT:1:1105:27515:13803	Deletion	68L	6289	382	6670	109	75	34	0	correct	forward	1
M01715:133:000000000-AF5JT:1:2112:12422:14025	Deletion	68L	52	394	445	109	54	54	0	correct	forward	1
M01715:133:000000000-AF5JT:1:2113:27869:13961	Deletion	68S	81	1575	1655	151	123	31	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:2102:14608:24626	Deletion	68S	270	2799	3068	151	99	56	4	correct	forward	0
M01715:133:000000000-AF5JT:1:2104:4634:15192	Deletion	68L	709	1203	1911	109	69	43	3	correct	forward	0
M01715:133:000000000-AF5JT:1:1111:24557:17315	Deletion	68S	335	2739	3073	151	96	60	5	correct	forward	1
M01715:133:000000000-AF5JT:1:2103:25436:21416	Deletion	68L	312	1636	1947	151	86	70	5	correct	reverse	1
M01715:133:000000000-AF5JT:1:2105:13171:23818	Deletion	68S	124	3172	3295	151	110	43	2	correct	forward	1
M01715:133:000000000-AF5JT:1:2108:13571:2063	Deletion	68L	3306	2743	6048	151	84	67	0	correct	reverse	1
M01715:133:000000000-AF5JT:1:1107:9172:20361	Deletion	68L	5671	1088	6758	151	93	60	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:1118:17594:9757	Deletion	68S	259	2808	3066	151	113	43	5	correct	reverse	1
M01715:133:000000000-AF5JT:1:2112:24448:19609	Deletion	68S	43	257	299	151	111	43	3	correct	forward	1
M01715:133:000000000-AF5JT:1:1116:21292:17370	Deletion	68S	167	2462	2628	151	119	36	4	correct	forward	1
M01715:133:000000000-AF5JT:1:1107:5735:16026	Deletion	68L	5867	979	6845	151	121	31	1	correct	forward	1
M01715:133:000000000-AF5JT:1:1114:3490:8265	Deletion	68L	338	1571	1946	151	117	37	3	correct	forward	1
M01715:133:000000000-AF5JT:1:1106:20908:16727	Deletion	68S	119	2736	2854	151	107	47	3	correct	forward	1
M01715:133:000000000-AF5JT:1:1114:17762:11150	Deletion	68S	671	987	1657	151	79	76	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1107:28899:14889	Deletion	68S	452	2401	2852	151	115	37	1	correct	forward	1
M01715:133:000000000-AF5JT:1:1108:3336:17742	Deletion	68S	71	3209	3279	151	105	46	0	correct	forward	1
M01715:133:000000000-AF5JT:1:1109:11199:11207	Deletion	68S	147	755	901	151	93	61	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:1106:13056:6399	Deletion	68S	260	2806	3065	151	121	31	1	correct	reverse	1
M01715:133:000000000-AF5JT:1:2119:12582:12615	Deletion	68L	5309	869	6177	151	109	42	0	correct	forward	1
M01715:133:000000000-AF5JT:1:2110:4011:8606	Deletion	68L	821	346	1166	151	96	63	8	correct	reverse	1
M01715:133:000000000-AF5JT:1:1119:27124:8700	Deletion	68L	5169	887	6055	109	65	46	2	correct	forward	0
M01715:133:000000000-AF5JT:1:2107:24262:5148	Deletion	68S	277	2790	3066	151	119	34	2	correct	forward	1
M01715:133:000000000-AF5JT:1:1110:20973:24780	Deletion	68S	487	737	1223	151	97	56	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:2115:22396:3106	Deletion	68L	566	3011	3576	151	112	42	3	correct	forward	1
M01715:133:000000000-AF5JT:1:2102:11006:23150	Deletion	68L	5865	869	6733	151	105	46	0	correct	forward	1
M01715:133:000000000-AF5JT:1:2118:17479:12391	Deletion	68S	132	2732	2863	151	80	74	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:2116:12115:17716	Deletion	68L	704	1401	2104	109	82	31	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1112:28958:15091	Deletion	68S	125	3170	3294	151	108	42	0	correct	forward	1
M01715:133:000000000-AF5JT:1:2106:12145:24806	Deletion	68L	6369	242	6643	109	79	31	1	correct	forward	1
M01715:133:000000000-AF5JT:1:2101:11056:23022	Deletion	68S	91	2766	2856	151	112	39	0	correct	forward	1
M01715:133:000000000-AF5JT:1:1111:15905:11048	Deletion	68S	1465	770	2234	151	95	58	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:1107:16215:24151	Deletion	68L	5225	1070	6294	151	86	66	1	correct	forward	1
M01715:133:000000000-AF5JT:1:1118:14735:9439	Deletion	68L	64	393	456	109	57	51	0	correct	forward	0
M01715:133:000000000-AF5JT:1:1110:26940:11891	Deletion	68S	277	2790	3066	151	104	49	2	correct	forward	1
M01715:133:000000000-AF5JT:1:2101:23540:10064	Deletion	68S	2653	443	3095	151	87	66	2	correct	forward	1
M01715:133:000000000-AF5JT:1:1110:12495:20510	Deletion	68S	270	2799	3068	151	120	35	4	correct	forward	0
M01715:133:000000000-AF5JT:1:1102:24166:20756	Deletion	68L	6467	446	6912	151	112	41	2	correct	forward	1
M01715:133:000000000-AF5JT:1:1105:9558:4871	Deletion	68S	706	1899	2604	109	69	43	3	correct	forward	0
M01715:133:000000000-AF5JT:1:2101:28754:17450	Deletion	68S	278	2799	3076	151	88	69	7	correct	reverse	1
M01715:133:000000000-AF5JT:1:2102:13726:21067	Deletion	68S	577	2320	2896	151	127	31	7	correct	forward	1
M01715:133:000000000-AF5JT:1:2113:21441:3478	Deletion	68S	577	2320	2896	151	99	59	7	correct	forward	1
M01715:133:000000000-AF5JT:1:1114:2611:11776	Deletion	68S	270	2799	3068	151	109	46	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1117:3671:19477	Deletion	68S	278	2799	3076	151	125	35	9	correct	forward	1
M01715:133:000000000-AF5JT:1:1106:24182:2431	Deletion	68S	270	2799	3068	151	110	45	4	correct	reverse	0
